Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
7.43,1,7.43,1
7.44,2,7.44,0
7.45,2,7.45,4
7.46,2,7.46,2
7.47,2,7.47,1
7.48,4,7.48,4
7.49,1,7.49,1
7.5,2,7.5,4
7.51,3,7.51,2
7.52,1,7.52,2
7.53,6,7.53,1
7.54,0,7.54,1
7.55,4,7.55,0
7.56,2,7.56,1
7.57,0,7.57,4
7.58,1,7.58,2
7.59,6,7.59,1
7.6,2,7.6,4
7.61,2,7.61,2
7.62,1,7.62,1
7.63,1,7.63,2
7.64,3,7.64,2
7.65,1,7.65,1
7.66,4,7.66,1
7.67,1,7.67,2
7.68,2,7.68,4
7.69,1,7.69,3
7.7,2,7.7,1
7.71,2,7.71,5
7.72,1,7.72,5
7.73,1,7.73,3
7.74,0,7.74,2
7.75,2,7.75,3
7.76,1,7.76,2
7.77,2,7.77,2
7.78,1,7.78,1
7.79,2,7.79,1
7.8,3,7.8,0
7.81,2,7.81,0
7.82,4,7.82,0
7.83,2,7.83,1
7.84,2,7.84,1
7.85,1,7.85,2
7.86,3,7.86,0
7.87,4,7.87,1
7.88,3,7.88,0
7.89,2,7.89,3
7.9,0,7.9,1
7.91,0,7.91,1
7.92,0,7.92,1
7.93,1,7.93,2
7.94,2,7.94,2
7.95,1,7.95,0
7.96,3,7.96,4
7.97,2,7.97,0
7.98,0,7.98,1
7.99,3,7.99,2
8,2,8,4
8.01,1,8.01,1
8.02,1,8.02,3
8.03,2,8.03,1
8.04,1,8.04,1
8.05,3,8.05,0
8.06,2,8.06,2
8.07,1,8.07,2
8.08,1,8.08,4
8.09,4,8.09,0
8.1,2,8.1,1
8.11,3,8.11,1
8.12,1,8.12,3
8.13,3,8.13,3
8.14,2,8.14,5
8.15,1,8.15,0
8.16,3,8.16,3
8.17,0,8.17,2
8.18,1,8.18,1
8.19,1,8.19,0
8.2,2,8.2,3
8.21,3,8.21,4
8.22,2,8.22,0
8.23,3,8.23,2
8.24,2,8.24,4
8.25,2,8.25,2
8.26,1,8.26,1
8.27,2,8.27,2
8.28,4,8.28,0
8.29,3,8.29,1
8.3,1,8.3,1
8.31,2,8.31,1
8.32,1,8.32,0
8.33,1,8.33,0
8.34,1,8.34,2
8.35,0,8.35,2
8.36,2,8.36,0
8.37,3,8.37,1
8.38,2,8.38,4
8.39,2,8.39,3
8.4,1,8.4,2
8.41,2,8.41,2
8.42,0,8.42,3
